grade,name,id,area,termId,order,entryType,maxMarks,gradingScaleId,conversionType,conversionFactor
XII Commerce,Computer Science,XII Commerce_Computer_Science,Scholastic,,,,,,,
XII Science,Computer Science,XII Science_Computer_Science,Scholastic,,,,,,,
XII Commerce,Computer Science Additional,XII Commerce_Computer_Science_Additional,,,,,,,,
XII Science,Computer Science Additional,XII Science_Computer_Science_Additional,,,,,,,,
II,Conc,II_Conc,,,,,,,,
III,EVS,III_EVS,Scholastic,,,,,,,
II,EVS,II_EVS,Scholastic,,,,,,,
IV,EVS,IV_EVS,Scholastic,,,,,,,
I,EVS,I_EVS,Scholastic,,,,,,,
V,EVS,V_EVS,Scholastic,,,,,,,
XI Commerce,Economics,XI Commerce_Economics,Scholastic,,,,,,,
XI Humanities,Economics,XI Humanities_Economics,Scholastic,,,,,,,
XII Commerce,Economics,XII Commerce_Economics,Scholastic,,,,,,,
III,English,III_English,Scholastic,,,,,,,
II,English,II_English,Scholastic,,,,,,,
IV,English,IV_English,Scholastic,,,,,,,
IX,English,IX_English,Scholastic,,,,,,,
I,English,I_English,Scholastic,,,,,,,
VIII,English,VIII_English,Scholastic,,,,,,,
VII,English,VII_English,Scholastic,,,,,,,
VI,English,VI_English,Scholastic,,,,,,,
V,English,V_English,Scholastic,,,,,,,
XI Commerce,English,XI Commerce_English,Scholastic,,,,,,,
XI Humanities,English,XI Humanities_English,Scholastic,,,,,,,
XI Science,English,XI Science_English,Scholastic,,,,,,,
XII Commerce,English,XII Commerce_English,Scholastic,,,,,,,
XII Science,English,XII Science_English,Scholastic,,,,,,,
X,English,X_English,Scholastic,,,,,,,
XI Commerce,HPE,XI Commerce_HPE,,,,,,,,
XI Science,HPE,XI Science_HPE,,,,,,,,
XII Commerce,HPE,XII Commerce_HPE,,,,,,,,
XII Science,HPE,XII Science_HPE,,,,,,,,
III,Hindi,III_Hindi,Scholastic,,,,,,,
II,Hindi,II_Hindi,Scholastic,,,,,,,
IV,Hindi,IV_Hindi,Scholastic,,,,,,,
IX,Hindi,IX_Hindi,Scholastic,,,,,,,
I,Hindi,I_Hindi,Scholastic,,,,,,,
VIII,Hindi,VIII_Hindi,Scholastic,,,,,,,
VII,Hindi,VII_Hindi,Scholastic,,,,,,,
VI,Hindi,VI_Hindi,Scholastic,,,,,,,
V,Hindi,V_Hindi,Scholastic,,,,,,,
XI Commerce,Hindi,XI Commerce_Hindi,Scholastic,,,,,,,
XI Humanities,Hindi,XI Humanities_Hindi,Scholastic,,,,,,,
XI Science,Hindi,XI Science_Hindi,Scholastic,,,,,,,
XII Commerce,Hindi,XII Commerce_Hindi,Scholastic,,,,,,,
XII Science,Hindi,XII Science_Hindi,Scholastic,,,,,,,
X,Hindi,X_Hindi,Scholastic,,,,,,,
IX,IT,IX_IT,Scholastic,,,,,,,
X,IT,X_IT,Scholastic,,,,,,,
VIII,Kaushal Bodh,VIII_Kaushal_Bodh,,,,,,,,
VII,Kaushal Bodh,VII_Kaushal_Bodh,,,,,,,,
VI,Kaushal Bodh,VI_Kaushal_Bodh,,,,,,,,
III,Marathi,III_Marathi,Scholastic,,,,,,,
II,Marathi,II_Marathi,Scholastic,,,,,,,
IV,Marathi,IV_Marathi,Scholastic,,,,,,,
IX,Marathi,IX_Marathi,Scholastic,,,,,,,
I,Marathi,I_Marathi,Scholastic,,,,,,,
VIII,Marathi,VIII_Marathi,Scholastic,,,,,,,
VII,Marathi,VII_Marathi,Scholastic,,,,,,,
VI,Marathi,VI_Marathi,Scholastic,,,,,,,
V,Marathi,V_Marathi,Scholastic,,,,,,,
X,Marathi,X_Marathi,Scholastic,,,,,,,
III,Maths,III_Maths,Scholastic,,,,,,,
II,Maths,II_Maths,Scholastic,,,,,,,
IV,Maths,IV_Maths,Scholastic,,,,,,,
IX,Maths,IX_Maths,Scholastic,,,,,,,
I,Maths,I_Maths,Scholastic,,,,,,,
VIII,Maths,VIII_Maths,Scholastic,,,,,,,
VII,Maths,VII_Maths,Scholastic,,,,,,,
VI,Maths,VI_Maths,Scholastic,,,,,,,
V,Maths,V_Maths,Scholastic,,,,,,,
XI Science,Maths,XI Science_Maths,Scholastic,,,,,,,
XII Commerce,Maths,XII Commerce_Maths,Scholastic,,,,,,,
XII Science,Maths,XII Science_Maths,Scholastic,,,,,,,
X,Maths,X_Maths,Scholastic,,,,,,,
XI Commerce,Maths Additional,XI Commerce_Maths_Additional,,,,,,,,
XI Science,Maths Additional,XI Science_Maths_Additional,,,,,,,,
XII Commerce,Maths Additional,XII Commerce_Maths_Additional,,,,,,,,
XII Science,Maths Additional,XII Science_Maths_Additional,,,,,,,,
XI Commerce,PE Additional,XI Commerce_PE_Additional,,,,,,,,
XI Science,PE Additional,XI Science_PE_Additional,,,,,,,,
XII Commerce,PE Additional,XII Commerce_PE_Additional,,,,,,,,
XII Science,PE Additional,XII Science_PE_Additional,,,,,,,,
IX,Physics,IX_Physics,Scholastic,,,,,,,
XI Science,Physics,XI Science_Physics,Scholastic,,,,,,,
XII Science,Physics,XII Science_Physics,Scholastic,,,,,,,
X,Physics,X_Physics,Scholastic,,,,,,,
XI Humanities,Psychology,XI Humanities_Psychology,,,,,,,,
XI Science,Psychology,XI Science_Psychology,,,,,,,,
IX,Sanskrit,IX_Sanskrit,Scholastic,,,,,,,
VIII,Sanskrit,VIII_Sanskrit,Scholastic,,,,,,,
VII,Sanskrit,VII_Sanskrit,Scholastic,,,,,,,
VI,Sanskrit,VI_Sanskrit,Scholastic,,,,,,,
X,Sanskrit,X_Sanskrit,Scholastic,,,,,,,
VIII,Science,VIII_Science,Scholastic,,,,,,,
VII,Science,VII_Science,Scholastic,,,,,,,
VI,Science,VI_Science,Scholastic,,,,,,,
IX,Seva,IX_Seva,,,,,,,,
X,Seva,X_Seva,,,,,,,,
IX,Social Studies,IX_Social_Studies,Scholastic,,,,,,,
VIII,Social Studies,VIII_Social_Studies,Scholastic,,,,,,,
VII,Social Studies,VII_Social_Studies,Scholastic,,,,,,,
VI,Social Studies,VI_Social_Studies,Scholastic,,,,,,,
X,Social Studies,X_Social_Studies,Scholastic,,,,,,,
XI Humanities,Sociology,XI Humanities_Sociology,,,,,,,,
